DATE,MSPW
1963-01-01,18000
1963-04-01,18900
1963-07-01,19000
1963-10-01,19500
1964-01-01,19600
1964-04-01,20100
1964-07-01,20600
1964-10-01,21500
1965-01-01,21600
1965-04-01,22100
1965-07-01,21500
1965-10-01,22400
1966-01-01,23300
1966-04-01,23800
1966-07-01,22500
1966-10-01,22800
1967-01-01,24700
1967-04-01,24700
1967-07-01,23600
1967-10-01,23300
1968-01-01,24700
1968-04-01,25500
1968-07-01,25500
1968-10-01,24800
1969-01-01,24800
1969-04-01,25600
1969-07-01,25400
1969-10-01,25500
1970-01-01,23800
1970-04-01,24700
1970-07-01,24200
1970-10-01,23600
1971-01-01,24700
1971-04-01,26200
1971-07-01,25300
1971-10-01,25600
1972-01-01,26200
1972-04-01,26300
1972-07-01,28300
1972-10-01,28800
1973-01-01,29600
1973-04-01,32800
1973-07-01,33600
1973-10-01,33900
1974-01-01,34400
1974-04-01,36100
1974-07-01,36000
1974-10-01,37200
1975-01-01,38500
1975-04-01,40400
1975-07-01,39800
1975-10-01,43400
1976-01-01,45100
1976-04-01,47400
1976-07-01,47300
1976-10-01,50000
1977-01-01,51700
1977-04-01,53200
1977-07-01,53700
1977-10-01,56800
1978-01-01,58800
1978-04-01,61800
1978-07-01,61000
1978-10-01,65500
1979-01-01,66500
1979-04-01,69600
1979-07-01,73400
1979-10-01,71700
1980-01-01,72100
1980-04-01,74400
1980-07-01,70800
1980-10-01,74100
1981-01-01,74700
1981-04-01,78500
1981-07-01,77500
1981-10-01,79600
1982-01-01,73300
1982-04-01,77900
1982-07-01,72000
1982-10-01,77500
1983-01-01,78800
1983-04-01,78900
1983-07-01,82600
1983-10-01,81900
1984-01-01,85600
1984-04-01,87400
1984-07-01,87400
1984-10-01,89800
1985-01-01,92100
1985-04-01,93700
1985-07-01,90600
1985-10-01,95300
1986-01-01,92800
1986-04-01,95200
1986-07-01,99400
1986-10-01,98500
1987-01-01,104200
1987-04-01,113700
1987-07-01,118000
1987-10-01,116400
1988-01-01,124500
1988-04-01,123000
1988-07-01,131000
1988-10-01,129000
1989-01-01,135900
1989-04-01,136000
1989-07-01,139000
1989-10-01,144900
1990-01-01,145000
1990-04-01,150000
1990-07-01,150000
1990-10-01,145000
1991-01-01,145000
1991-04-01,143500
1991-07-01,144000
1991-10-01,136000
1992-01-01,129900
1992-04-01,129000
1992-07-01,134500
1992-10-01,132300
1993-01-01,134000
1993-04-01,135000
1993-07-01,136600
1993-10-01,135200
1994-01-01,140000
1994-04-01,137000
1994-07-01,140000
1994-10-01,148000
1995-01-01,139400
1995-04-01,140000
1995-07-01,143000
1995-10-01,143000
1996-01-01,148200
1996-04-01,155900
1996-07-01,154800
1996-10-01,160000
1997-01-01,159900
1997-04-01,160000
1997-07-01,159000
1997-10-01,159000
1998-01-01,163400
1998-04-01,159300
1998-07-01,166400
1998-10-01,165000
1999-01-01,168700
1999-04-01,170400
1999-07-01,173400
1999-10-01,188000
2000-01-01,190300
2000-04-01,190800
2000-07-01,192700
2000-10-01,210300
2001-01-01,206400
2001-04-01,204600
2001-07-01,218100
2001-10-01,227200
2002-01-01,238500
2002-04-01,239600
2002-07-01,228100
2002-10-01,244400
2003-01-01,253700
2003-04-01,245600
2003-07-01,272200
2003-10-01,272800
2004-01-01,273300
2004-04-01,278700
2004-07-01,277100
2004-10-01,297000
2005-01-01,309800
2005-04-01,329900
2005-07-01,344300
2005-10-01,332000
2006-01-01,330000
2006-04-01,329800
2006-07-01,342200
2006-10-01,356500
2007-01-01,341500
2007-04-01,344600
2007-07-01,310200
2007-10-01,321300
2008-01-01,293700
2008-04-01,302500
2008-07-01,290700
2008-10-01,296800
2009-01-01,274300
2009-04-01,272400
2009-07-01,253700
2009-10-01,251900
2010-01-01,263600
2010-04-01,264100
2010-07-01,259500
2010-10-01,248900
2011-01-01,251400
2011-04-01,259200
2011-07-01,251400
2011-10-01,252000
2012-01-01,272300
2012-04-01,258600
2012-07-01,265500
2012-10-01,291200
2013-01-01,290500
2013-04-01,302400
2013-07-01,322900
2013-10-01,331000
2014-01-01,324700
2014-04-01,344400
2014-07-01,327500
2014-10-01,355400
2015-01-01,347200
2015-04-01,341000
2015-07-01,330800
2015-10-01,370300
2016-01-01,350800
2016-04-01,380000
2016-07-01,368600
2016-10-01,371100
2017-01-01,372500
2017-04-01,386300
2017-07-01,385500.0
2017-10-01,409700.0
2018-01-01,407900.0
