RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
6181,New York,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446800,454400,463800,465400,469400,470600,462500,462100,463700,471700,463800,447900,436100,435100,440800,448e3,455300,467300,469600,475900,475300,485800,489400,494200,487900,485700,474400,476e3,477200,480400,476400,473500,480500,487900,492200,478200,478200,476300,493100,490900,486300,485400,490900,501200,504600,502500,490400,484500,486800,500800,516300,520500,523800,519100,522700,523500,526600,533e3,536400,540900,545700,538200,568200,576700,586900,557500,550200,546e3,540400,532800,534200,541e3,541e3,540200,535500,541500,541500,546600,542400,555700,556500,559800,545500,542600,547500,562800,574800,583400,584500,582900,568300
12447,Los Angeles,California,2,511200,480100,461500,451e3,434200,419600,404500,398600,387800,374900,364700,348800,341700,322800,321800,323900,330100,335700,342500,35e4,351800,356200,369500,369300,364400,347e3,350200,347200,350300,346300,351500,352600,359500,365600,369600,363400,35e4,341900,344900,345100,343400,339700,338400,335300,333900,334600,341800,337100,335800,331800,337100,342200,350200,359100,372800,379100,387900,403e3,417300,421200,419e3,426400,445900,459600,468600,470400,474e3,478900,483800,485700,492400,494600,507100,504500,513600,506800,511300,511600,510900,512900,511300,515100,545200,554300,559800,535800,533100,535900,539900,547700,554900,556e3,563600,570400,600600,601300,600100,584800,584800,587600,581400,589300,595e3,605e3,611300,616e3,647900,650400,657700,633100,638800,640500,651800,647600,651200,652900,670900,678900,7e5,707600,716800,703500,696600,699900
17426,Chicago,Illinois,3,326500,315200,290300,278800,272100,268e3,265100,268100,259600,256600,243600,244100,243700,239200,229e3,218400,219600,224600,224300,227800,232800,234200,234600,222800,217300,214500,220500,225200,216500,207600,191600,195100,198800,206800,202400,198900,188700,181300,173700,184200,191800,200500,196200,196500,185800,187900,180900,182600,174200,173300,171200,179200,185100,196600,202800,203400,200300,192800,199500,199200,200400,196900,209200,225500,237500,242800,242200,250900,249300,250500,245e3,255e3,252e3,252400,249400,257100,251300,251400,254e3,265e3,268200,269e3,271200,269e3,267e3,267500,270400,271600,268500,267800,266700,267200,259300,262e3,265300,274900,275600,274900,273200,271900,273e3,274600,268800,270200,273900,284200,298300,302300,309700,297800,288e3,276100,268900,268200,265e3,27e4,272200,277200,281100,289700,304900,303700,296700,279300
13271,Philadelphia,Pennsylvania,4,109100,109e3,110500,11e4,107800,111e3,114e3,116200,114500,110300,107800,101300,99400,106500,11e4,114e3,108300,115100,121200,125500,130600,127500,124800,113800,114200,116600,120400,119500,114400,105700,104400,101300,11e4,104100,107700,104600,107200,11e4,109200,111500,104200,105500,104900,106700,103900,104e3,104700,101600,99800,101700,107400,106700,106200,108700,109400,107400,107800,111200,114700,110900,105700,105300,106900,111700,113300,114600,115200,116200,117e3,118100,119400,120200,123900,122200,121500,118e3,115500,117400,117100,120700,118800,118600,118100,111700,112800,114e3,120100,122700,121900,121200,122900,125900,125100,117900,122500,123e3,124e3,115500,116800,118300,120700,121200,126e3,125300,128800,128e3,131e3,133100,134300,138400,139600,143500,141300,143e3,143600,145300,148e3,148100,154300,150600,150400,146e3,149400,148900
40326,Phoenix,Arizona,5,222800,215e3,207200,196700,185800,175300,166300,153300,138800,122100,107300,93e3,81900,75300,74200,81500,87900,94500,95e3,96700,103500,105100,105500,102800,102900,104400,103700,104700,101400,97400,94700,93600,89800,84900,84300,83700,83700,81e3,80400,81800,83300,86300,89200,91100,96200,100100,101600,101500,103300,108800,116200,121200,125600,129600,129600,133800,137600,143600,146800,146200,147500,149600,154600,159400,163100,165100,165800,166e3,165500,166e3,166300,167500,168600,168700,165600,162400,164500,168600,174e3,173900,174e3,175600,177900,181900,182e3,184300,186900,189600,189e3,188300,188600,192700,196400,199200,199300,199e3,203100,206e3,207300,204800,204200,205900,209500,210700,212800,213100,216900,218700,221200,219500,216500,213e3,215500,218900,221600,223600,226700,230700,236700,240100,240200,238100,234500,235600
18959,Las Vegas,Nevada,6,243600,238400,235e3,231e3,220800,209100,193700,184200,174300,165700,157300,148800,141200,130500,123600,120900,120300,118300,115900,117200,118800,121400,122800,123300,122400,123700,125500,128600,125600,124200,119700,118400,116200,114800,114400,113500,110400,108500,107800,109400,108e3,104800,102300,102600,104300,105500,105900,105800,107e3,109400,112700,117200,118900,121500,122800,126400,130700,133400,137e3,139300,142600,145100,148100,155600,159700,163100,161100,162900,163400,166400,167200,168800,170400,172e3,172400,164200,163400,167300,177300,180100,179e3,179100,179800,183200,183500,185500,185500,187e3,189600,188900,189900,188500,191700,193500,198e3,200600,200800,2e5,198600,201100,200400,200900,200300,203400,207600,208400,210200,208600,213e3,214e3,219200,226800,230600,230900,229800,232100,235300,237800,242300,246600,253100,255700,259500,
6915,San Antonio,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164800,163300,162200,163900,164200,165700,166100,169200,171100,173300,172200,172200,172200,173100,174300,173900,178400,177200,179e3,175700,175800,178e3,179500,18e4,177400,176500,177500,178500,180300,181e3,181200,178700,179500,178600,178900,178300,180100,181200,182800,186e3,192400,197400,201100,199900,197200,194900,195200,195900,195200
54296,San Diego,California,8,420900,409500,398e3,378e3,368600,355e3,348e3,333900,320700,308400,294400,299300,292e3,291300,288300,305800,321700,331200,340100,347300,345200,348100,337800,345500,346500,354e3,348400,343300,346400,347900,352200,353600,361300,360500,348600,337900,333900,341500,342800,336800,332400,327400,326800,325600,326300,329e3,327100,327800,333800,342e3,350600,353700,364200,367400,370600,370700,380400,389500,397200,402200,408600,417300,427100,430800,432600,430500,436200,435100,437100,436800,440300,441e3,441900,442600,445300,445400,449600,454800,459800,465100,464100,463600,462200,473300,483800,485500,478900,477400,480700,482100,473100,470400,474700,490900,500100,500800,491600,496700,499300,505400,501800,504e3,505900,515300,520100,523e3,526600,537800,543700,538900,532e3,537500,545700,551300,553200,553700,565300,570800,573700,569e3,572800,579300,584700,585700
38128,Dallas,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256900,257100,251200,254700,254500,258e3,254500,259300,255400,272400,277200,278700,268100,263100,267800,265400,265700,262700,262900,263600,272800,276200,279500,274100,277800,276900,278800,273800,278600,282700,288200,284e3,278500,277700,278700,283800,284300,286700,281e3,283800,281800,286900,281600,285600,279900,296800,298900,305700,294600,298100
33839,San Jose,California,10,615900,579300,563500,545800,531500,518200,496800,475200,447e3,429200,423700,414100,391800,361900,353e3,364600,394400,402200,414200,416400,433900,448500,461100,465200,463700,448200,450400,447500,455600,452700,457300,455200,451800,447900,450500,439600,427900,414200,414e3,424900,426100,431400,429200,425200,422800,421100,434e3,434300,432100,433600,437700,450200,463900,490700,506500,515e3,521e3,529500,548500,552700,555800,559200,575400,592400,598400,599300,602100,608e3,613900,619500,624600,626600,621200,623600,629900,641200,637500,644600,648700,659300,664300,67e4,680200,668800,674800,678e3,699400,706700,713200,721300,728900,733600,735400,743e3,745700,751300,750900,757700,762800,764500,766200,761600,759500,764e3,776400,785700,802800,809800,816800,809200,810300,818400,829900,837600,855500,884900,922600,969100,1002400,1045500,1064400,1071300,106e4,
