RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
102001,United States,0,188e3,184700,180600,176900,174900,173800,172900,171600,169700,166800,164e3,162e3,159300,155400,151600,151100,152800,155300,156900,158100,159700,161400,163800,163800,164500,161500,159600,156200,156600,156900,158700,158e3,158700,158200,158900,157700,155400,152700,150600,15e4,150300,149700,149e3,148600,149100,150400,150500,150800,151100,152500,153900,156100,158e3,160200,160400,160800,161900,164600,166300,166900,167600,169e3,171500,173500,176300,177800,178400,178400,178400,178600,178600,179100,179800,180200,180200,180400,181500,183100,184600,185500,186100,187100,189300,191600,193700,195300,197600,198900,199600,198700,198900,198500,199500,201400,203500,204700,204900,205800,206800,207400,207300,208200,209700,212600,215e3,216200,217600,218600,219200,219400,218500,219200,218800,219400,220900,223400,227400,229100,233100,237200,240700,239800,235100,231700
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361500,360200,360300,363100,368e3,365400,360500,358500,355600,355400,350600,347500,344500,341600,341600,347300,355400,360800,362100,359500,354800,352e3,352800,357200,355700,352800,348900,352300,352800,355300,354200,358900,363100,366700,367600,366900,366700,366300,367900,368300,370100,372500,372200,371500,369800,369500,367300,367500,367600,371300,373800,374900,375900,372500,373100,370700,369e3,369700,372100,377100,379800,373800,374900,378100,385800,386400,383100,384e3,382800,381900,381300,382500,381200,371800,370300,368700,376e3,375900,376500,377200,373e3,375300,373200,380700,384200,386600,389500,393400,401700,401800,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,474800,463400,447100,435600,422300,408e3,393600,381900,37e4,357400,340500,329800,323200,319900,318700,324800,334200,342300,351100,358500,365700,367600,369200,367100,365400,362100,365800,363300,365800,361200,368500,367700,370700,365900,360400,357300,353900,355300,352100,348200,348200,346500,347e3,341e3,340700,338100,336500,334300,335100,340400,344200,349500,358300,366300,377600,383700,392400,399800,400100,401600,406400,423200,436200,446e3,450600,455500,458600,460500,463800,465500,464500,467300,471100,477700,482700,483600,487700,489700,492700,494800,494500,492900,495600,502600,509300,513200,512300,516600,517500,521400,523800,523800,527300,530200,535700,537800,539900,543800,546700,548800,549200,552100,554900,561300,566200,570100,572400,573700,577700,58e4,585500,588800,597e3,598400,604900,605600,615600,618700,622500,628400,631500,632400,627900,628200
394463,"Chicago, IL",3,254200,251600,238600,227200,224200,221900,221500,220500,218300,217600,210800,208500,204600,200500,192900,186700,187400,190300,190200,192e3,193600,197e3,196800,197400,195400,193100,187300,186600,184300,184800,177900,178700,181200,186500,184800,179800,174100,169e3,163900,163e3,165900,169300,167200,164800,161e3,164300,159800,158800,155700,156700,155600,157500,159400,162600,160800,160300,161500,163200,165200,163700,162800,161800,165400,172300,183500,189300,190800,191100,192100,195200,193500,196300,195600,196400,194900,197e3,197600,199400,200100,201700,202100,201800,203100,204200,206100,207600,209700,209600,210500,207800,207900,207800,209200,210700,209100,210800,213200,217200,218200,216600,216500,217100,212900,211600,212600,220300,225e3,228200,233200,233100,231200,224800,222200,22e4,216500,217500,219300,226700,228600,234500,240300,243800,240600,236100
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186e3,185300,185300,187300,189100,190900,191800,193600,195800,197e3,198500,199100,200500,201600,202400,204200,204e3,203900,203800,204800,206400,207100,208400,209700,213800,216300,218400,217500,219500,221700,222700,220700,221800,226100,231700,233300,233700,231900,232900,234800,239700,243500,244500,244500,245200,249e3,251400,250700,248800,246800
394974,"Philadelphia, PA",5,212e3,211e3,207600,199100,195400,194e3,195500,196200,198200,198100,198e3,198500,201900,202200,197300,190600,186700,188300,189800,192100,194900,199300,202400,203400,204100,203700,199700,193100,189600,185700,186500,187e3,192200,196500,201800,203800,200400,194600,186e3,182400,181e3,181600,179500,177900,178800,183400,185200,188800,187600,187600,186e3,187800,187400,186700,18e4,180100,183500,194100,197400,197e3,193600,193200,191800,192700,194e3,196600,196200,195300,194600,195300,195400,194900,195500,193400,192200,190500,190300,191200,191700,193900,193600,193600,192900,192e3,192500,194600,196300,196800,195100,192300,192600,192500,194500,193100,195400,199800,200400,198200,194500,194800,196e3,194700,194e3,192400,194e3,200200,200900,204300,200400,202200,202700,203700,202800,198500,195500,194400,196300,203e3,207500,209e3,208400,206500,206800,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182900,182700,186400,188300,190600,188700,188700,189800,19e4,192500,192900,194400,194800,194700,194800,192200,191800,190800,193200,193900,196100,194700,195800,196600,199200,201e3,202200,205600,208300,210500,212400,213200,216500,217300,217e3,216500,215900,217500,218300,222700,228100,227500,223100,217700,22e4,223900,228800,229200,225200
395209,"Washington, DC",7,355200,345400,329900,317300,312e3,309500,301300,292500,286600,281400,283800,281100,283600,276500,273300,274e3,284e3,296700,302700,300700,299200,299900,302e3,299700,299400,301900,298600,291600,290900,285100,294100,290300,305100,305300,306100,304500,295300,289100,281e3,281300,290300,297900,305600,297e3,292900,285700,288e3,282500,293300,297900,309800,313100,321500,322800,319800,316400,318200,317900,320900,316500,324400,327700,338400,342200,346800,347900,343700,341200,341500,342600,344400,341100,342800,342300,352200,352900,355800,348800,347600,345300,348400,352300,353300,355500,361900,364400,362600,354300,351300,349300,353400,356200,357700,351300,352600,355e3,356900,357300,355500,356700,355800,358600,361900,366100,362900,364800,367200,369500,370100,366900,368e3,365300,366100,365800,368300,368200,371200,374100,378e3,381300,389300,392700,391100,382e3
394856,"Miami-Fort Lauderdale, FL",8,258800,249e3,237800,228600,224500,223900,217500,209e3,194300,187200,175900,168500,159600,152600,143800,138e3,137800,141400,144200,143800,143900,145800,147700,149200,149200,146900,145500,141800,137900,133700,129600,130600,130600,130100,124e3,120700,117200,119700,121800,124800,128900,127600,126200,124e3,123700,127800,131200,135200,136e3,137500,138300,140400,140900,143200,145400,147600,148300,153500,158600,163600,161100,161100,163500,168100,170700,173600,175900,177500,178800,179900,182700,180600,180900,179900,183300,185900,19e4,190300,190600,189600,192600,195800,197100,198500,199700,203300,207700,210300,211100,210500,210700,211800,207600,209300,210900,219300,221700,223300,222900,222300,222800,224200,227300,231400,231100,231200,230800,236500,239100,243300,240700,241200,238100,241500,243600,246600,246300,249500,256500,264800,271900,270500,267700,262400
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92500,93100,93900,96100,94800,95400,96e3,97100,97600,98500,101500,103500,105900,108100,112900,117300,121100,123e3,126300,128700,132700,134700,139900,141400,143e3,141300,140500,140600,141300,141900,141200,141600,144400,148e3,151800,152900,154600,154500,157300,159600,162500,163100,170300,172500,173700,167500,166700,167600,168600,169900,172e3,174600,175600,176400,175700,175500,173300,174e3,174200,175900,177e3,180100,181800,184400,186500,190900,193400,195400,193800,191600,189100,190700,193900,196700,199300,204100,210400,213400,213700,210900,
